lat,lon,alt,date,device,os,version
33.7744598389,-84.3797912598,289.27243042,2012-11-12 16:32:00,"iPhone4,1",6.0.1,1.1
33.7765083313,-84.3874969482,303,2012-11-12 17:40:16,"iPhone4,1",6.0.1,1.1
33.7771644592,-84.3975067139,296.066436768,2012-11-12 17:48:48,"iPhone4,1",6.0.1,1.1
33.7761535645,-84.3851318359,312.447998047,2012-11-13 05:30:40,"iPhone4,1",6.0.1,1.1
33.7744522095,-84.3797531128,290.086090088,2012-11-13 05:47:44,"iPhone4,1",6.0.1,1.1
33.7761116028,-84.3851318359,310.32321167,2012-11-13 16:34:08,"iPhone4,1",6.0.1,1.1
33.7739486694,-84.3988800049,296.923919678,2012-11-13 16:40:32,"iPhone4,1",6.0.1,1.1
33.7782974243,-84.3973693848,298.59854126,2012-11-14 01:46:40,"iPhone4,1",6.0.1,1.1
33.7743682861,-84.3802032471,291.039001465,2012-11-14 01:53:04,"iPhone4,1",6.0.1,1.1
33.7733840942,-84.3876495361,303,2012-11-14 02:03:44,"iPhone4,1",6.0.1,1.1
33.7793273926,-84.4102478027,291.001068115,2012-11-14 02:14:24,"iPhone4,1",6.0.1,1.1
33.781539917,-84.4038314819,292.095916748,2012-11-14 04:24:32,"iPhone4,1",6.0.1,1.1
33.7744483948,-84.3799362183,290.368804932,2012-11-14 04:35:12,"iPhone4,1",6.0.1,1.1
33.7760467529,-84.3851089478,311.937896729,2012-11-14 19:05:36,"iPhone4,1",6.0.1,1.1
33.777179718,-84.3975143433,296.185913086,2012-11-14 19:12:00,"iPhone4,1",6.0.1,1.1
33.778175354,-84.3821105957,297.988311768,2012-11-14 23:42:56,"iPhone4,1",6.0.1,1.1
33.7803726196,-84.3887710571,303,2012-11-15 00:06:24,"iPhone4,1",6.0.1,1.1
33.7795295715,-84.3832702637,298.539672852,2012-11-15 00:29:52,"iPhone4,1",6.0.1,1.1
33.7743148804,-84.3797836304,304.54083252,2012-11-15 00:36:16,"iPhone4,1",6.0.1,1.1
33.770149231,-84.3372573853,300.818817139,2012-11-15 01:38:08,"iPhone4,1",6.0.1,1.1
33.7734832764,-84.3706893921,298.690429688,2012-11-15 02:01:36,"iPhone4,1",6.0.1,1.1
33.7743034363,-84.3800582886,299.470062256,2012-11-15 02:08:00,"iPhone4,1",6.0.1,1.1
33.776638031,-84.3852844238,314.172058105,2012-11-15 02:35:44,"iPhone4,1",6.0.1,1.1
33.7767829895,-84.3920288086,316.993652344,2012-11-15 02:42:08,"iPhone4,1",6.0.1,1.1
33.7763061523,-84.3851242065,315.380432129,2012-11-15 03:14:08,"iPhone4,1",6.0.1,1.1
33.7693901062,-84.3329391479,303,2012-11-15 05:49:52,"iPhone4,1",6.0.1,1.1
33.7736434937,-84.352722168,303,2012-11-15 05:54:08,"iPhone4,1",6.0.1,1.1
33.7744255066,-84.3797454834,291.724334717,2012-11-15 06:02:40,"iPhone4,1",6.0.1,1.1
33.7778282166,-84.3908996582,312.146087646,2012-11-15 17:10:24,"iPhone4,1",6.0.1,1.1
33.7737350464,-84.3984832764,293.878814697,2012-11-15 17:18:56,"iPhone4,1",6.0.1,1.1
33.7761802673,-84.384803772,312.883331299,2012-11-15 21:34:56,"iPhone4,1",6.0.1,1.1
33.774684906,-84.3793411255,293.095581055,2012-11-15 23:15:12,"iPhone4,1",6.0.1,1.1
33.7723083496,-84.3849029541,291.286865234,2012-11-15 23:21:36,"iPhone4,1",6.0.1,1.1
33.7745437622,-84.3796920776,303,2012-11-15 23:49:20,"iPhone4,1",6.0.1,1.1
33.7786064148,-84.3985061646,303,2012-11-16 00:29:52,"iPhone4,1",6.0.1,1.1
33.7842750549,-84.4120101929,259.010498047,2012-11-16 00:36:16,"iPhone4,1",6.0.1,1.1
